	Ssp1	Step	Hsp1	Hsp2	Gmug	Gzhu	Llle	Lpil	Lkao	Ltri	Lmir
1	0	0	0	0	0	0	2	0	0	0	0
2	0	0	200	0	0	0	24	16	0	1	9
3	0	0	251	0	0	0	5	7	0	0	0
4	0	0	0	0	0	0	70	0	0	105	0
5	0	0	107	0	0	0	307	229	0	212	65
6	0	0	0	0	0	0	7	2	0	0	2
7	0	0	380	0	0	0	76	65	0	3	18
8	0	0	0	0	0	0	152	114	0	38	76
9	0	0	9	0	0	0	92	0	0	46	0
10	0	0	0	0	0	0	19	4	0	5	4
11	0	0	0	0	0	0	15	0	0	3	0
12	0	0	62	0	0	0	7	13	0	6	3
13	0	0	0	0	0	0	19	5	0	35	0
14	0	0	32	0	0	0	52	10	0	19	6
15	0	0	0	0	0	0	2	0	0	0	0
16	0	0	0	0	0	0	18	2	0	8	5
17	0	0	0	0	0	0	2	0	0	0	0
18	0	0	0	0	0	0	0	1	0	0	0
19	0	0	0	0	0	0	3	1	0	0	2
20	0	0	0	0	0	0	18	8	0	8	3
21	0	0	0	0	0	0	3	0	0	0	0
22	0	0	204	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	9	0	0	2	1
24	0	0	160	0	0	0	7	2	0	1	0
25	0	0	0	0	0	0	4	7	0	12	2
26	0	0	1	0	0	0	29	5	0	11	7
27	0	0	6	0	0	0	9	3	0	5	3
28	0	0	0	0	0	0	117	29	0	29	0
29	0	0	28	0	0	0	51	28	0	5	14
30	0	0	0	0	0	0	6	2	0	2	0
31	0	0	2150	0	0	0	60	42	0	79	19
32	0	0	608	0	0	0	7	2	0	9	3
33	0	0	535	0	0	0	12	8	0	2	5
34	0	0	305	0	0	0	179	40	0	30	20
35	0	0	101	0	0	0	61	71	0	12	8
36	0	0	384	0	0	0	8	0	2	4	0
37	0	0	2010	0	0	0	261	20	0	190	40
38	0	0	25	1	0	0	16	4	0	3	13
39	0	0	0	0	0	0	0	28	1	10	0
40	0	0	1025	0	0	0	10	31	0	8	0
41	0	0	1010	1	0	0	8	15	0	0	0
42	0	0	1086	0	0	0	40	14	0	0	12
43	0	0	547	0	0	0	0	0	0	0	0
44	0	0	80	0	0	0	63	69	0	13	0
45	0	0	405	0	0	0	11	5	0	12	2
46	0	0	1147	0	0	0	61	20	0	23	6
47	0	0	123	2	0	0	0	0	0	0	0
48	0	0	0	0	0	0	6	3	0	2	0
49	0	0	4	0	0	0	2	0	0	3	0
50	0	3	57	0	0	0	0	0	0	0	0
51	0	0	250	0	0	0	35	6	0	19	7
52	0	0	535	0	0	0	97	25	0	93	18
53	0	0	20	0	0	0	13	0	0	0	0
54	0	0	0	0	0	0	0	7	0	0	0
55	0	0	289	0	0	0	595	103	0	173	60
56	0	0	88	0	0	0	1	0	0	0	0
57	0	0	54	0	0	0	13	4	0	0	7
58	0	0	122	0	0	0	1	1	0	0	0
59	0	0	1150	0	0	0	2	0	0	0	0
60	0	0	350	0	0	0	6	0	0	0	0
61	0	0	605	0	0	0	12	3	0	5	2
62	0	0	192	0	0	0	3	1	0	2	1
63	2	0	589	0	0	0	0	0	0	0	0
64	0	0	1240	0	0	0	9	3	0	8	3
65	0	0	39	0	0	0	560	58	2	34	22
66	0	0	712	0	0	0	11	9	0	9	0
67	0	0	103	0	0	0	37	0	0	0	18
68	0	0	135	0	0	0	9	65	0	0	0
69	0	0	435	0	0	0	19	5	0	0	4
