	Nper	Hspl	Sspa	Agal	Sten	Sobe	Scep	Lput	Spap	Sdim	Smin	Cont	Dper
1	0	0	0	1	1	0	0	0	0	0	0	0	0
2	0	0	0	0	4	0	0	4	0	0	0	0	0
3	0	0	0	0	11	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	5
5	2	0	0	10	90	0	0	0	0	0	0	0	90
6	6	0	0	0	1	0	0	0	0	0	0	0	2
7	0	0	0	0	0	0	0	0	0	0	0	0	1
8	0	0	0	0	0	0	0	0	0	0	0	0	8
9	1	0	0	0	0	0	0	0	0	2	0	0	0
10	0	0	0	0	0	0	0	0	0	5	3	0	2
11	0	0	0	0	0	0	0	0	2	0	0	0	0
12	0	0	0	0	8	0	0	0	0	10	0	0	7
13	1	0	0	0	3	0	0	0	0	0	6	0	0
14	1	0	0	0	0	0	0	0	3	7	0	0	0
15	0	0	0	0	19	0	0	1	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	14	0	0	0
17	8	0	0	0	0	0	0	0	0	2	0	0	0
18	0	0	0	0	2	0	0	0	0	0	0	0	0
19	0	0	0	5	0	0	0	0	0	0	0	0	0
20	0	0	0	0	4	0	0	0	0	1	0	0	0
21	0	0	0	0	0	1	0	0	0	0	0	0	0
22	0	0	0	0	1	0	0	0	0	0	0	0	1
23	0	0	0	0	0	0	0	0	0	4	0	0	0
24	0	0	0	0	22	0	0	0	0	1	0	0	11
25	0	0	0	0	1	0	0	0	0	4	0	0	0
26	0	0	0	0	0	0	0	0	0	0	4	0	4
27	0	0	0	0	0	12	0	0	0	0	0	0	0
28	2	0	0	0	0	0	0	0	0	0	0	0	0
29	0	0	0	0	0	0	0	0	0	0	2	0	12
30	1	0	0	0	5	0	0	0	0	4	0	0	0
31	0	0	0	0	0	0	0	0	0	5	0	0	0
32	0	0	0	0	0	7	0	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	0	3	0	0	12
34	0	0	0	0	3	0	0	0	0	3	0	0	2
35	0	0	0	2	19	0	0	0	0	0	0	0	0
36	0	0	0	0	7	0	0	0	0	0	0	0	0
37	0	0	0	0	1	0	0	0	0	0	0	0	0
38	0	0	0	0	0	3	0	0	0	0	0	0	0
39	0	0	0	0	4	0	0	0	0	0	0	0	0
40	1	0	0	0	0	0	0	0	0	0	0	0	0
41	0	0	0	2	0	0	0	0	0	0	0	0	0
42	0	0	0	1	0	0	0	0	0	0	0	0	0
43	0	0	0	0	0	0	0	0	0	3	0	0	0
44	0	0	0	0	0	1	0	0	0	0	0	0	0
45	0	0	0	0	1	0	0	0	0	0	0	0	0
46	0	0	0	0	1	0	0	0	0	0	0	0	0
47	1	0	0	0	0	0	0	0	3	5	0	0	0
48	0	0	0	5	0	0	0	0	0	1	0	0	0
49	2	1	0	4	0	0	0	0	0	0	0	0	10
50	3	0	0	3	0	0	0	0	0	0	0	0	13
51	10	0	0	0	0	0	0	0	0	0	0	0	0
52	1	0	0	0	0	0	0	0	0	0	130	0	0
53	1	0	0	0	0	0	0	0	0	0	0	0	0
54	4	0	0	0	2	0	0	0	0	0	6	0	0
55	11	0	0	0	2	0	0	0	0	3	11	0	3
56	26	0	0	0	0	0	0	0	0	0	10	0	0
57	5	0	0	0	0	0	0	0	0	0	0	0	0
58	1	0	0	0	1	0	0	0	0	0	0	0	0
59	0	0	0	0	0	0	0	0	0	0	0	0	4
60	2	0	0	0	0	0	0	0	0	0	0	0	0
61	0	0	0	0	0	0	0	0	0	0	1	0	0
62	20	0	0	0	1	0	0	0	0	0	0	0	0
63	0	0	0	0	0	0	0	0	0	0	5	0	0
64	0	0	0	0	0	0	0	0	0	4	0	0	0
65	0	0	0	0	0	0	0	0	0	0	0	0	56
66	0	0	0	0	0	0	0	0	0	9	0	0	26
67	0	0	0	0	0	0	0	0	0	1	0	0	0
68	0	0	0	0	13	0	0	0	0	0	0	0	0
69	0	0	0	0	0	0	0	0	5	2	0	0	0
70	0	0	0	0	0	0	0	0	3	0	8	0	3
71	0	0	0	0	0	0	0	0	0	0	0	0	1
72	0	0	0	0	0	0	0	0	0	11	0	0	3
73	0	2	0	1	0	0	0	0	0	0	0	0	0
74	0	0	0	0	3	0	0	0	0	0	0	0	15
75	0	0	0	0	2	0	0	0	0	0	0	0	0
76	0	0	0	0	15	0	0	0	0	0	0	0	9
77	0	0	0	0	2	0	0	0	0	0	0	0	4
78	0	0	0	0	37	0	0	0	0	0	0	0	0
79	0	0	0	0	0	0	0	0	0	1	0	0	0
80	0	0	0	0	0	0	0	0	0	0	0	0	52
81	0	0	0	2	0	0	0	0	0	0	0	0	156
82	0	0	0	0	110	0	0	0	0	0	0	0	273
83	0	0	0	0	2	1	0	0	0	2	0	0	54
84	0	0	0	0	3	0	0	0	0	0	0	0	0
85	1	0	0	0	0	0	0	0	0	0	0	0	0
86	0	0	0	0	1	0	0	0	0	10	0	0	0
87	0	0	0	0	0	3	0	0	0	0	0	0	0
88	0	0	0	0	0	0	0	0	0	0	0	0	5
89	0	0	0	0	5	0	0	0	0	0	0	0	0
90	0	0	0	6	12	0	0	0	0	42	0	1	0
91	0	0	0	0	0	0	0	0	0	440	0	0	10
92	0	0	0	0	4	1	0	0	0	0	0	0	0
93	0	0	0	0	0	0	0	0	0	1	0	1	0
94	0	0	0	0	0	0	0	0	0	0	0	0	1
95	0	0	0	0	1	0	0	0	0	0	0	0	0
96	0	0	0	0	0	0	0	0	0	0	0	0	3
97	0	0	0	0	0	0	0	0	0	0	0	0	2
98	1	0	0	0	0	0	0	0	0	0	0	0	2
99	0	0	0	0	5	0	0	0	2	0	0	0	0
100	0	0	0	0	5	0	0	0	0	0	0	0	0
101	0	0	0	0	0	0	0	0	0	0	0	0	7
102	0	0	0	0	6	0	0	0	0	0	0	0	0
103	0	0	0	0	0	0	0	0	0	0	0	0	5
104	0	0	0	0	0	0	0	0	0	0	2	0	0
105	0	0	0	0	8	0	0	0	0	0	0	0	32
106	0	0	0	0	9	0	0	0	0	15	0	0	41
107	0	0	0	0	6	0	0	0	0	0	0	0	95
108	0	0	0	0	0	0	0	0	0	10	0	0	40
109	0	0	0	0	0	0	0	0	0	0	0	0	95
110	0	0	0	0	20	0	0	0	0	0	0	0	10
111	0	0	0	0	0	0	0	0	0	0	0	0	20
112	0	0	0	0	10	0	0	0	0	2	0	0	0
113	0	0	0	0	0	0	0	0	0	0	0	0	29
114	0	0	0	0	35	0	0	0	0	0	0	0	0
115	0	0	0	0	0	0	0	0	0	20	0	0	0
116	0	0	0	0	0	0	0	0	0	0	0	0	5
117	0	0	0	0	11	0	0	0	0	0	0	0	9
118	0	0	0	0	102	0	0	0	0	0	0	0	198
119	0	0	0	0	0	0	0	0	0	5	0	0	5
120	0	0	0	2	0	0	0	0	0	0	0	0	0
121	0	0	0	0	3	0	0	0	0	0	0	0	0
122	10	0	0	0	0	0	0	0	0	0	2	2	0
123	32	0	0	0	0	0	0	0	0	0	20	0	2
124	4	0	0	0	0	0	0	0	0	0	0	0	0
125	0	0	0	0	0	0	0	0	0	0	5	0	31
126	18	0	0	0	0	0	0	0	0	6	14	1	0
127	0	0	0	0	0	0	0	0	0	12	0	0	0
128	0	0	0	0	0	0	0	0	0	0	17	0	0
129	0	0	0	0	0	0	0	0	0	0	1	0	0
130	0	0	0	0	0	0	0	0	0	0	48	0	0
131	0	0	0	0	0	0	0	0	0	0	3	0	0
132	0	0	0	0	0	0	0	0	0	4	0	0	6
133	0	0	0	0	0	0	0	0	0	12	0	0	5
134	36	0	0	0	0	0	0	0	0	0	0	1	370
135	0	0	0	0	0	0	0	0	0	38	0	0	0
136	0	0	0	0	0	0	0	0	0	0	0	1	10
137	0	0	0	0	0	0	0	0	0	0	16	0	0
138	0	0	0	0	0	0	0	0	0	4	15	0	0
139	0	0	0	0	0	0	0	0	0	0	2	0	0
140	0	0	0	3	23	0	0	0	0	12	0	0	6
141	0	0	0	0	0	0	0	0	0	21	0	0	4
142	1	0	0	0	0	0	0	0	0	0	0	0	0
143	0	0	0	0	0	0	0	0	37	0	0	0	0
144	0	0	0	0	0	0	0	0	5	0	0	0	2
145	0	0	0	0	2	0	0	0	0	0	1	0	5
146	0	0	0	0	0	0	0	0	0	2	0	0	0
147	0	0	0	0	2	0	0	0	0	0	0	0	0
148	0	0	0	31	0	0	0	0	0	0	0	0	0
149	0	0	0	1	0	0	0	0	8	0	0	0	6
150	0	0	0	0	0	0	0	0	0	1	0	0	0
151	0	0	0	0	0	0	0	0	0	5	0	0	10
152	0	0	0	6	0	0	0	0	0	0	0	0	21
153	0	0	0	0	0	0	0	0	0	0	0	0	31
154	0	0	0	0	0	0	0	0	0	0	0	0	29
155	0	0	0	0	0	0	0	0	0	0	0	0	52
156	0	0	0	0	0	0	0	0	0	0	0	0	1
157	0	0	0	0	0	0	0	0	0	0	0	2	0
158	0	0	0	0	0	0	0	0	0	0	0	0	2
159	0	0	30	0	0	0	0	0	0	0	0	1	0
160	0	0	0	0	0	0	0	0	0	0	1	0	0
161	0	0	0	0	26	0	0	0	0	0	0	0	13
162	0	0	0	0	0	0	0	0	0	0	0	0	46
163	0	0	0	0	0	0	0	0	0	3	0	0	0
164	0	0	0	2	2	0	0	0	0	0	0	0	34
165	0	0	0	0	1	0	0	0	15	98	0	0	0
166	0	0	0	0	0	0	0	0	0	10	0	0	0
167	0	0	0	0	0	0	0	0	0	28	0	1	0
168	0	0	0	0	6	0	0	0	0	0	0	0	1
169	0	0	0	0	0	0	0	0	3	39	5	0	0
170	0	0	0	0	1	0	0	0	5	45	12	0	0
171	0	0	0	0	0	0	0	0	0	0	0	1	0
172	0	0	0	1	0	1	0	0	0	0	0	0	4
173	0	0	0	0	0	0	0	0	0	0	0	0	3
174	0	0	0	0	1	0	0	0	0	11	0	0	0
175	0	0	2	1	1	0	0	0	1	3	0	0	1
176	1	0	0	0	0	0	2	0	0	0	0	0	0
177	1	0	0	0	0	0	0	0	0	0	0	0	0
178	0	0	0	0	0	0	0	0	0	0	4	0	0
179	0	0	0	0	0	0	0	0	36	0	0	0	0
180	2	0	3	4	0	0	0	0	0	3	23	0	0
181	0	0	0	0	0	0	0	0	0	7	0	0	0
182	0	0	0	0	0	0	0	0	0	6	0	0	0
183	0	0	0	0	0	0	0	0	0	0	6	0	0
184	2	0	0	0	0	0	0	0	0	82	0	0	14
185	0	0	0	0	1	0	0	0	0	0	1	0	0
186	0	0	0	0	3	0	1	0	0	7	16	0	0
187	2	0	0	0	1	0	6	0	0	0	0	0	0
188	0	0	5	0	0	4	0	0	9	106	0	0	0
189	1	0	0	1	4	19	3	0	0	0	0	0	8
190	0	0	0	0	0	0	0	0	0	0	0	0	1
191	0	0	0	0	0	0	0	0	11	0	0	0	0
192	1	0	0	0	0	0	0	0	0	8	0	0	0
193	0	0	0	0	0	0	0	0	0	0	0	1	0
194	0	0	0	0	1	0	0	0	0	0	0	0	2
195	0	0	12	1	0	0	0	0	0	0	0	0	0
196	0	0	0	0	0	0	0	0	0	177	0	0	1
197	0	0	0	0	1	0	0	0	0	0	0	1	0
198	0	0	0	6	0	0	0	0	2	4	0	0	0
199	0	0	0	0	8	0	0	0	0	0	0	0	0
200	0	0	0	0	0	0	0	0	0	9	0	0	0
201	0	0	0	3	0	0	0	0	0	0	0	0	0
202	0	0	0	2	6	0	0	0	6	5	2	0	0
203	0	0	0	0	0	0	0	9	0	0	0	0	0
204	0	0	0	0	3	0	0	0	0	6	0	0	0
205	0	0	0	0	0	0	0	0	0	7	0	0	0
206	0	0	0	0	0	0	0	0	0	5	0	0	0
207	0	0	0	0	0	0	0	0	0	1	0	0	0
208	0	0	0	0	0	0	0	0	8	0	0	0	0
209	0	0	0	0	0	0	0	0	2	132	0	0	0
210	0	0	0	0	0	0	0	0	0	0	0	1	0
211	0	0	0	0	3	0	0	0	15	0	0	0	22
212	0	0	0	0	0	0	0	0	0	0	0	0	43
213	0	0	0	4	0	3	0	0	0	0	0	0	111
214	0	0	0	0	0	0	0	0	10	0	0	0	2
215	0	0	0	1	8	0	0	0	0	0	0	0	3
216	0	0	0	0	1	0	0	0	0	0	0	0	0
217	0	0	0	1	2	0	0	0	0	0	0	0	11
218	0	0	0	3	3	0	0	0	0	0	0	0	21
219	0	0	0	0	0	0	0	0	0	0	0	0	47
220	0	0	0	2	3	0	0	0	0	0	0	0	12
221	0	0	0	0	2	0	0	0	23	0	0	0	0
222	0	0	0	0	1	0	0	0	0	0	2	0	0
223	2	1	0	0	19	0	0	0	0	3	0	0	0
224	0	0	0	0	16	0	0	0	0	11	0	0	8
225	1	0	0	0	3	0	0	0	0	0	0	0	0
226	0	0	0	0	0	0	0	0	11	0	0	0	0
227	1	0	0	0	0	0	0	0	0	10	0	0	0
228	0	0	0	0	0	0	0	0	4	0	0	0	0
229	0	0	0	0	0	0	0	0	0	6	0	0	0
230	0	0	0	0	3	0	0	0	0	0	0	0	23
231	0	0	0	3	0	0	0	0	0	0	0	0	1
232	0	0	0	2	0	0	0	0	0	0	0	0	14
233	0	0	1	1	0	0	0	0	0	0	0	0	21
234	1	0	0	0	2	0	0	0	0	0	0	0	3
235	0	0	0	0	1	0	0	0	0	0	0	0	7
236	0	0	0	4	0	0	0	0	0	0	0	0	0
237	0	0	0	0	0	0	0	0	0	0	0	0	5
238	0	0	0	0	0	0	0	0	0	0	0	1	0
239	0	0	0	0	0	0	0	0	0	0	1	0	0
240	0	0	0	0	0	0	0	0	0	0	0	1	0
241	0	0	0	0	0	0	0	0	0	0	0	0	1
242	0	0	0	0	0	0	0	0	0	2	0	0	0
243	0	0	0	0	0	0	0	0	13	1	0	0	0
244	0	0	0	0	0	0	0	0	0	13	0	0	0
245	0	0	0	0	15	1	0	0	0	0	0	0	0
246	0	0	0	0	0	0	0	0	0	2	0	0	0
247	0	0	0	0	3	0	0	0	0	14	38	0	9
248	0	0	0	0	0	0	0	0	0	2	1	0	0
249	0	0	0	0	0	0	0	0	0	0	0	0	1
250	0	0	0	0	3	0	0	0	0	0	0	0	4
251	0	0	0	0	0	0	0	0	0	0	2	0	0
252	1	0	0	0	0	0	0	0	0	0	0	0	8
253	0	0	0	0	1	0	0	0	3	0	0	0	92
254	1	0	0	0	0	0	0	0	0	0	0	0	0
255	0	0	0	0	19	1	1	0	0	0	0	0	0
256	0	0	0	0	6	0	0	0	0	0	0	0	6
257	0	0	0	0	0	0	0	0	2	0	0	0	0
258	0	0	0	0	0	0	0	0	0	11	0	0	0
259	0	0	0	0	0	0	0	0	0	4	2	0	0
