	Ssp1	Gmug	Gzhu	Llle	Lpil	Lkao
1	0	4	0	0	4	0
2	0	3	0	0	4	0
3	0	0	0	1	0	0
4	0	0	0	5	23	0
5	0	0	0	5	11	0
6	0	0	0	5	11	0
7	0	0	0	19	19	0
8	0	0	0	1	1	0
9	0	0	0	5	15	3
10	0	0	0	3	5	0
11	0	0	0	8	13	0
12	0	0	0	87	48	0
13	0	0	0	6	31	0
14	0	0	0	2	0	0
15	0	1	0	44	18	0
16	0	0	0	21	71	1
17	0	0	0	2	66	0
18	0	0	0	7	14	0
19	0	0	0	2	8	0
20	0	0	0	6	24	1
21	0	0	0	3	8	1
22	0	0	0	1	4	0
23	0	0	0	6	33	0
24	0	0	0	1	6	0
25	0	0	0	0	4	0
26	0	1500	53	5	15	0
27	0	0	0	3	8	0
28	0	2500	18	61	39	0
29	0	200	0	5	25	0
30	0	0	0	24	36	0
31	0	0	0	5	5	0
32	0	10	0	13	22	0
33	0	0	0	0	2	0
34	0	0	0	3	7	0
35	0	0	0	2	4	0
36	0	0	0	3	5	0
37	0	0	0	0	3	0
38	0	0	0	5	6	0
39	0	0	0	0	5	0
40	0	0	0	12	27	0
41	0	0	0	6	31	0
42	0	0	0	26	11	0
43	0	0	0	1	5	0
44	0	0	0	4	8	0
45	0	0	0	0	2	0
46	0	0	0	3	0	0
47	0	0	0	2	4	1
48	0	0	0	1	2	0
49	0	0	0	3	6	1
50	0	0	0	0	4	0
51	0	0	0	5	3	0
52	0	0	0	2	8	0
53	0	0	0	2	3	0
54	0	0	0	0	2	0
55	0	0	0	1	1	0
56	0	4	32	1	0	0
57	0	120	912	208	88	0
58	0	0	114	20	0	0
59	0	8	7	127	125	0
60	0	2	0	4	5	0
61	0	0	18	21	50	0
62	0	32	0	516	220	136
63	0	11	0	11	12	0
64	0	5	0	9	18	0
65	0	0	0	5	10	0
66	0	0	0	2	5	0
67	0	6	0	26	53	0
68	0	22	0	41	27	0
69	0	1	0	23	69	0
70	0	15	2	4	2	0
71	0	0	0	9	4	0
72	0	7	0	206	90	0
73	0	0	0	45	20	0
74	0	0	0	7	23	0
75	0	0	0	0	2	0
76	0	0	0	2	5	0
77	0	0	0	0	10	0
78	0	0	0	2	6	0
79	0	0	0	0	1	0
80	0	0	0	0	2	0
81	0	4	0	4	11	0
82	0	3	0	5	37	0
83	0	0	0	5	1	0
84	0	0	0	0	1	0
85	0	0	0	32	55	0
86	0	0	0	4	7	0
87	0	0	0	2	6	0
88	0	0	0	2	5	0
89	0	0	0	0	5	0
90	0	0	0	4	2	1
91	0	60	0	3	35	0
92	0	0	0	6	3	0
93	0	0	0	2	11	0
94	0	0	0	12	12	0
95	0	0	0	2	5	0
96	0	0	0	5	8	0
97	0	0	0	18	13	0
98	0	0	0	31	43	1
99	0	0	0	37	16	0
100	0	21	0	12	3	0
101	0	0	0	16	18	0
102	0	0	0	13	0	0
103	0	0	0	5	37	0
104	0	0	0	14	29	0
105	0	0	0	2	6	0
106	0	0	0	5	7	0
107	0	0	0	39	43	0
108	0	0	0	29	12	0
109	0	0	0	30	4	0
110	0	0	0	12	22	0
111	0	0	0	12	0	0
112	0	0	0	13	5	0
113	0	0	0	14	25	0
114	0	0	0	6	0	0
115	0	0	0	5	0	0
116	0	0	0	54	95	0
117	0	0	0	16	29	24
118	0	0	0	9	18	0
119	0	0	0	16	21	0
120	0	0	0	15	15	1
121	0	0	0	12	10	0
122	0	0	0	9	2	1
123	0	0	0	62	68	2
124	0	0	0	0	9	2
125	0	0	0	2	4	0
126	0	0	0	0	1	0
127	0	0	0	0	1	0
128	0	0	0	0	2	0
129	0	0	0	4	0	1
130	0	0	0	3	10	0
131	0	0	0	11	14	0
132	0	0	0	4	5	1
133	0	0	0	0	2	0
134	0	0	0	6	21	0
135	0	0	0	2	1	0
136	0	0	0	0	5	0
137	0	0	0	2	13	0
138	0	0	0	0	5	1
139	0	0	0	0	2	0
140	2	0	0	0	4	0
141	0	0	0	1	4	0
142	0	0	0	0	7	0
143	0	0	0	9	10	2
144	0	0	0	5	8	0
145	0	0	0	0	2	0
146	0	0	0	3	0	0
147	0	0	0	8	9	0
148	0	0	0	3	10	0
149	0	0	0	6	9	0
150	0	0	0	2	0	0
151	0	0	0	2	12	0
152	0	0	0	1	2	0
153	0	0	0	38	29	1
154	0	0	0	6	63	1
155	0	0	0	2	5	0
156	0	0	0	3	0	0
157	0	0	0	4	4	0
158	0	0	0	0	3	0
159	0	0	0	5	11	0
160	0	0	0	0	3	0
161	0	0	0	3	7	0
162	0	0	0	20	20	0
163	0	0	0	0	6	0
164	0	0	0	2	0	0
165	0	0	0	1	24	0
166	0	0	0	11	29	0
167	0	0	0	10	0	0
168	0	0	0	2	8	1
169	1	0	0	2	1	0
170	0	0	0	10	15	0
171	0	0	0	10	0	0
172	0	0	0	0	3	1
173	0	0	0	2	6	0
174	0	0	0	0	2	0
175	0	0	0	4	4	0
176	0	0	0	0	3	0
177	0	0	0	5	2	0
178	0	0	0	15	34	0
179	0	0	0	6	11	1
180	0	0	2	0	3	0
181	0	0	0	98	113	0
182	0	0	0	9	2	0
183	0	0	0	0	3	0
184	0	0	0	28	21	0
185	0	1	0	19	25	0
186	0	0	0	2	0	0
187	0	0	0	4	14	0
188	0	0	0	0	0	1
189	0	0	0	2	2	0
190	0	0	0	0	1	0
191	0	0	0	0	3	0
192	0	0	0	2	2	0
193	0	0	0	0	2	0
194	0	0	0	0	5	0
195	0	0	0	2	6	0
196	0	0	0	0	5	0
197	0	0	0	0	5	0
198	0	0	0	2	8	0
199	0	0	0	0	9	0
200	0	0	0	11	16	0
201	0	0	0	0	4	0
202	0	0	0	14	90	0
203	0	0	0	7	2	0
204	0	0	0	6	20	0
205	0	0	0	4	2	0
206	0	0	0	3	8	0
207	0	0	0	8	2	0
208	0	0	0	2	3	0
209	0	0	0	5	4	0
210	0	0	0	8	22	0
211	0	0	0	7	16	0
212	0	0	0	12	33	0
213	0	0	0	0	12	0
214	0	0	0	1	7	0
215	1	6	0	6	11	2
216	0	0	0	2	3	0
217	0	0	0	5	3	0
218	0	0	0	6	13	0
219	0	0	0	0	3	1
220	0	0	0	16	19	0
221	0	0	0	2	4	0
222	0	0	0	3	13	0
223	0	0	0	4	6	1
224	0	0	0	2	11	0
225	0	0	0	3	0	0
226	0	0	0	10	41	0
227	0	0	0	0	2	0
228	0	0	0	2	7	0
229	0	0	0	2	0	0
230	0	0	0	3	2	0
231	0	0	0	25	9	0
232	0	0	0	0	1	0
233	0	0	0	8	10	0
234	0	0	0	2	9	0
235	0	0	0	3	4	0
236	0	0	0	5	1	0
237	0	0	0	2	0	0
238	0	0	0	4	9	0
239	0	0	0	5	2	0
240	0	0	0	7	2	0
241	0	0	0	0	3	0
242	0	0	0	0	1	1
243	0	0	0	0	2	1
244	0	0	0	0	1	0
245	0	0	0	0	2	1
246	0	0	0	1	0	0
247	0	0	0	1	0	1
248	1	0	0	0	0	0
249	0	0	0	2	3	0
250	0	0	0	2	3	0
251	0	0	0	2	1	0
252	0	0	0	6	15	0
253	0	0	0	19	83	4
254	0	0	0	0	2	0
255	0	0	0	11	23	0
256	0	0	0	2	2	0
257	0	0	0	81	56	0
258	0	0	0	6	3	0
259	0	0	0	8	31	3
260	0	0	0	2	4	0
261	0	0	0	19	27	0
262	0	0	0	6	22	0
263	0	8	0	2	4	0
264	0	2	2	7	6	0
265	0	0	0	44	166	0
266	0	0	0	10	24	0
267	0	0	0	2	5	0
268	0	0	0	0	12	0
269	0	0	0	2	4	0
270	0	0	0	13	68	0
271	0	0	0	7	17	0
272	0	0	0	0	1	0
273	0	0	0	0	2	0
274	0	0	0	2	3	0
275	0	0	0	0	3	0
276	0	0	0	11	28	0
277	0	0	0	2	29	6
278	0	0	1	20	24	0
279	0	0	0	0	6	0
280	0	0	0	2	19	1
281	0	0	0	8	27	0
282	0	0	0	1	0	0
283	0	0	0	76	203	0
284	0	0	0	5	6	0
285	0	0	0	5	2	0
286	0	0	0	2	0	0
287	0	0	0	2	8	1
288	0	0	0	16	4	0
289	0	0	0	6	21	0
290	0	0	0	10	6	0
291	0	9	0	2	5	0
292	0	0	0	27	11	0
293	0	14	0	19	9	0
294	0	0	0	5	2	0
295	0	1	0	8	4	0
296	0	0	0	22	9	0
297	0	17	0	6	3	0
298	0	8	0	2	5	0
299	0	0	0	4	10	0
300	0	0	0	5	7	0
301	0	0	0	22	10	0
302	0	0	33	96	40	0
303	0	0	0	15	33	0
304	0	0	0	1	0	0
305	0	0	0	2	15	0
306	0	0	0	3	25	0
307	0	0	0	0	0	2
308	0	0	0	12	16	2
309	0	0	0	13	3	0
310	0	0	0	0	1	0
311	0	0	0	2	3	0
312	0	0	0	19	14	0
313	0	0	0	4	8	0
314	0	0	0	4	4	0
315	1	0	0	19	2	0
316	0	0	0	66	83	1
317	0	0	0	1	9	0
318	0	0	0	5	5	0
319	0	0	0	4	4	1
320	0	0	0	36	17	0
321	0	0	0	5	0	0
322	0	0	0	1	11	0
323	0	0	0	6	6	0
324	0	0	0	2	16	0
325	0	0	0	1	2	0
326	0	0	0	0	9	0
327	0	0	0	0	3	0
328	0	0	0	2	2	0
329	0	0	0	0	3	0
330	0	0	0	0	2	0
331	1	0	0	0	4	0
332	0	0	0	1	2	0
333	0	0	0	7	22	0
334	0	0	0	0	5	0
335	0	0	0	4	39	0
336	0	0	0	1	4	0
337	0	0	0	9	22	0
338	0	0	0	17	11	0
339	0	0	0	0	0	6
340	0	0	0	20	4	0
341	0	0	0	1	0	0
342	0	0	0	3	16	0
343	0	0	0	5	11	0
344	0	0	0	0	3	0
345	0	0	0	5	0	0
346	0	0	0	0	1	0
347	0	0	0	3	3	0
348	0	0	0	0	7	0
349	0	0	0	6	23	0
350	1	0	0	2	3	0
351	0	0	0	13	2	0
352	0	0	0	0	1	0
353	0	0	0	0	1	0
354	0	0	0	0	1	0
355	0	20	0	0	0	0
356	0	0	0	4	0	0
357	0	0	0	0	2	0
358	0	0	0	0	1	0
359	0	0	0	4	0	0
360	0	0	0	5	6	0
361	0	0	0	1	0	0
362	0	0	0	3	7	0
363	0	0	0	2	9	0
364	0	0	0	7	5	0
365	0	0	0	2	4	0
366	0	0	0	0	6	0
367	0	0	0	0	2	0
368	0	0	0	0	2	0
369	0	0	0	0	1	0
370	0	0	0	1	1	0
371	0	0	0	0	4	0
372	0	0	0	4	4	0
373	0	16	0	31	11	0
374	0	9	0	5	0	0
375	0	38	0	50	21	2
376	0	29	0	30	14	3
377	0	17	5	35	24	0
378	0	0	0	116	94	0
379	0	0	0	20	4	0
380	0	0	0	53	15	0
381	0	7	0	31	6	0
382	0	0	0	26	20	0
383	0	0	0	4	2	0
384	0	0	0	3	0	0
385	0	0	0	5	2	0
386	1	0	0	3	1	0
387	0	0	0	10	8	0
388	0	0	0	0	8	0
389	0	0	0	5	6	0
390	0	0	0	10	7	0
