	Ssp1	Gmug	Gzhu	Llle	Lpil	Lkao	Ltri	Lmir
1	0	0	0	2	0	0	0	0
2	0	0	0	24	16	0	1	9
3	0	0	0	5	7	0	0	0
4	0	0	0	70	0	0	105	0
5	0	0	0	307	229	0	212	65
6	0	0	0	7	2	0	0	2
7	0	0	0	76	65	0	3	18
8	0	0	0	152	114	0	38	76
9	0	0	0	92	0	0	46	0
10	0	0	0	19	4	0	5	4
11	0	0	0	15	0	0	3	0
12	0	0	0	7	13	0	6	3
13	0	0	0	19	5	0	35	0
14	0	0	0	52	10	0	19	6
15	0	0	0	2	0	0	0	0
16	0	0	0	18	2	0	8	5
17	0	0	0	2	0	0	0	0
18	0	0	0	0	1	0	0	0
19	0	0	0	3	1	0	0	2
20	0	0	0	18	8	0	8	3
21	0	0	0	3	0	0	0	0
22	0	0	0	9	0	0	2	1
23	0	0	0	7	2	0	1	0
24	0	0	0	4	7	0	12	2
25	0	0	0	29	5	0	11	7
26	0	0	0	9	3	0	5	3
27	0	0	0	117	29	0	29	0
28	0	0	0	51	28	0	5	14
29	0	0	0	6	2	0	2	0
30	0	0	0	60	42	0	79	19
31	0	0	0	7	2	0	9	3
32	0	0	0	12	8	0	2	5
33	0	0	0	179	40	0	30	20
34	0	0	0	61	71	0	12	8
35	0	0	0	8	0	2	4	0
36	0	0	0	261	20	0	190	40
37	0	0	0	16	4	0	3	13
38	0	0	0	0	28	1	10	0
39	0	0	0	10	31	0	8	0
40	0	0	0	8	15	0	0	0
41	0	0	0	40	14	0	0	12
42	0	0	0	63	69	0	13	0
43	0	0	0	11	5	0	12	2
44	0	0	0	61	20	0	23	6
45	0	0	0	6	3	0	2	0
46	0	0	0	2	0	0	3	0
47	0	0	0	35	6	0	19	7
48	0	0	0	97	25	0	93	18
49	0	0	0	13	0	0	0	0
50	0	0	0	0	7	0	0	0
51	0	0	0	595	103	0	173	60
52	0	0	0	1	0	0	0	0
53	0	0	0	13	4	0	0	7
54	0	0	0	1	1	0	0	0
55	0	0	0	2	0	0	0	0
56	0	0	0	6	0	0	0	0
57	0	0	0	12	3	0	5	2
58	0	0	0	3	1	0	2	1
59	2	0	0	0	0	0	0	0
60	0	0	0	9	3	0	8	3
61	0	0	0	560	58	2	34	22
62	0	0	0	11	9	0	9	0
63	0	0	0	37	0	0	0	18
64	0	0	0	9	65	0	0	0
65	0	0	0	19	5	0	0	4
66	0	0	0	0	1	0	3	0
67	0	0	0	82	0	0	54	0
68	0	0	0	50	0	0	30	0
69	0	0	0	30	45	0	11	4
70	0	0	0	109	8	0	39	0
71	0	0	0	11	4	0	3	1
72	0	0	0	3	0	0	0	0
73	0	0	0	63	0	0	13	0
74	0	0	0	110	13	6	5	14
75	0	0	0	3	0	0	0	0
76	0	0	0	110	10	8	14	6
77	0	0	0	29	12	2	2	1
78	0	0	0	35	14	0	5	1
79	0	0	0	2	0	0	0	6
80	0	0	0	15	12	0	0	2
81	0	0	0	133	34	0	56	13
82	1	0	0	314	22	0	39	51
83	0	0	0	27	2	0	5	7
84	0	0	0	0	0	0	0	3
85	0	0	0	35	21	0	22	9
86	0	0	0	12	7	0	4	10
87	0	0	0	18	53	0	10	0
88	0	0	0	35	7	0	21	0
89	0	0	0	228	13	1	184	67
90	0	0	0	42	28	1	3	0
91	0	0	0	0	8	0	0	0
92	0	0	0	38	0	0	0	6
93	0	0	0	29	25	4	15	3
94	0	0	0	27	16	0	25	5
95	0	0	0	39	26	0	14	0
96	0	0	0	29	14	0	9	0
97	0	0	0	21	19	0	0	0
98	0	0	0	8	0	0	12	0
99	0	0	0	24	14	2	2	0
100	0	0	0	4	0	0	0	18
101	0	0	0	57	0	0	41	0
102	0	0	0	31	6	0	8	0
103	0	0	0	18	2	0	5	2
104	0	0	0	85	75	2	0	0
105	0	0	0	40	19	0	0	17
106	0	0	0	49	29	0	0	39
107	0	0	0	38	10	0	10	0
108	0	0	0	1	0	0	0	0
109	0	0	0	13	6	0	0	2
110	1	0	0	12	8	0	3	18
111	0	0	0	36	2	0	0	34
112	0	0	2	42	13	0	0	8
113	0	0	0	14	3	0	0	8
114	0	0	0	20	0	0	0	5
115	0	0	0	100	0	0	0	8
116	0	0	0	180	62	0	5	15
117	0	0	0	12	16	0	1	0
118	0	0	0	187	158	5	8	65
119	0	0	0	11	0	0	0	0
120	0	0	0	11	4	0	0	1
121	0	0	0	74	21	1	2	34
122	0	3	3	0	0	0	0	0
123	0	0	0	43	56	0	0	4
124	0	0	0	24	0	0	96	0
125	0	0	0	2	0	0	0	1
126	0	0	0	62	0	0	31	52
127	0	0	0	0	7	0	0	0
128	0	0	0	31	0	0	12	8
129	0	0	0	45	5	0	6	18
130	0	0	0	63	36	0	9	45
131	0	0	0	0	8	0	0	1
132	0	0	0	329	22	2	55	88
133	0	0	0	187	0	0	0	53
134	0	0	0	37	86	1	0	6
135	0	0	0	1	4	0	2	2
136	0	0	0	5	3	0	0	0
137	0	0	0	176	246	0	35	0
138	0	0	0	46	23	0	70	0
139	0	0	0	114	50	25	0	13
140	0	0	0	54	38	0	5	0
141	0	0	0	14	24	0	12	0
142	0	0	0	0	40	0	12	4
143	0	0	0	92	56	0	2	33
144	0	0	0	211	135	0	30	15
145	0	0	0	10	30	0	0	3
146	0	0	0	4	2	0	2	2
147	0	0	0	48	127	0	0	12
148	0	0	0	75	51	0	21	3
149	3	0	0	13	19	0	3	13
150	0	0	0	130	72	29	72	29
151	0	0	0	11	20	8	1	0
152	0	0	0	29	68	4	29	0
153	0	0	0	11	30	0	4	11
154	0	0	0	80	51	0	0	7
155	0	0	0	67	150	4	9	25
156	0	0	0	6	14	0	0	4
157	0	0	0	17	0	0	0	0
158	0	0	0	54	5	0	25	15
159	0	0	0	62	62	0	10	10
160	0	0	0	46	406	0	105	93
161	0	0	0	35	63	0	14	0
162	0	0	0	0	35	0	0	0
163	0	0	0	54	95	13	13	14
164	0	0	0	0	31	0	0	0
165	0	0	0	25	34	2	4	31
166	0	0	0	23	12	0	0	0
167	0	0	0	53	59	6	23	35
168	0	0	0	3	5	0	1	0
169	0	0	0	29	8	0	11	5
170	0	0	0	36	9	0	9	9
171	0	0	0	294	63	6	84	109
172	0	0	0	40	45	5	0	10
173	0	0	0	33	42	0	4	21
174	0	0	0	7	10	0	5	5
175	0	0	0	17	10	0	10	14
176	0	0	0	70	64	0	10	61
177	0	0	0	19	9	0	24	3
178	0	0	0	5	2	0	3	2
179	0	0	0	8	4	4	17	0
180	0	0	0	43	54	3	0	29
181	0	0	0	0	0	0	10	3
182	0	0	0	8	6	0	0	0
183	0	0	0	5	20	0	0	0
184	0	0	0	4	22	0	0	3
185	0	0	0	6	1	1	0	1
186	0	0	0	37	37	0	7	15
187	0	0	0	33	14	0	33	5
188	0	0	0	9	12	7	1	0
189	0	0	0	6	1	0	0	6
190	0	0	0	0	1	0	0	0
191	0	0	0	32	7	15	0	26
192	0	0	0	16	45	5	0	5
193	4	0	0	15	7	0	0	0
194	0	0	0	0	26	0	44	0
195	0	0	0	42	8	0	38	4
