	Ssp1	Step	Hsp1	Hsp2	Sove	Pmug	Pfle	Lhsp	Hbiv	Hssp	Nyam	Ntyl	Cumu	Gmug	Gzhu	Llle	Lpil	Lkao	Ltri	Lmir	Pbig
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
2	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	200	0	0	5	0	0	0	0	1	0	0	0	0	24	16	0	1	9	1
4	0	0	251	0	0	0	0	1	0	0	0	0	0	0	0	5	7	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	105	0	0
6	0	0	107	0	0	15	2	11	0	0	0	0	1	0	0	307	229	0	212	65	0
7	0	0	0	0	0	50	28	0	0	0	0	0	55	0	0	7	2	0	0	2	0
8	0	0	380	0	0	16	52	3	0	0	0	0	5	0	0	76	65	0	3	18	0
9	0	0	0	0	0	0	12	0	0	0	0	0	2	0	0	152	114	0	38	76	3
10	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	92	0	0	46	0	0
11	0	0	0	0	0	3	0	1	0	0	0	0	27	0	0	19	4	0	5	4	3
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	3	0	1
13	0	0	62	0	0	0	6	0	0	0	0	4	0	0	0	7	13	0	6	3	0
14	0	0	0	0	0	8	124	42	0	0	0	1	8	0	0	19	5	0	35	0	0
15	0	0	32	0	0	0	5	0	19	0	0	2	5	0	0	52	10	0	19	6	0
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
17	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	18	2	0	8	5	0
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0
20	0	0	0	0	0	63	38	24	1	0	3	0	0	0	0	3	1	0	0	2	0
21	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	18	8	0	8	3	0
22	0	0	0	0	0	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	10	7	3	0	0	1	0	0	0	0	3	0	0	0	0	0
24	0	0	204	0	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0	0	0	0	0	6	15	0	18	0	0	26	0	0	0	9	0	0	2	1	0
26	0	0	160	0	0	10	0	0	0	0	3	0	5	0	0	7	2	0	1	0	0
27	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	4	7	0	12	2	2
28	0	0	1	0	0	0	2	0	15	0	3	0	6	0	0	29	5	0	11	7	0
29	0	0	6	0	0	0	38	0	0	0	0	0	9	0	0	9	3	0	5	3	0
30	0	0	0	0	0	70	24	0	8	0	0	0	0	0	0	117	29	0	29	0	0
31	0	0	28	0	0	0	0	0	2	0	15	0	0	0	0	51	28	0	5	14	0
32	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	6	2	0	2	0	0
33	0	0	2150	0	0	0	0	0	0	0	13	0	1	0	0	60	42	0	79	19	0
34	0	0	608	0	0	37	26	0	13	0	0	1	2	0	0	7	2	0	9	3	1
35	0	0	535	0	0	48	32	0	3	0	0	4	1	0	0	12	8	0	2	5	2
36	0	0	305	0	0	0	0	0	0	0	0	3	0	0	0	179	40	0	30	20	0
37	0	0	101	0	1	4	26	0	0	0	0	3	9	0	0	61	71	0	12	8	9
